seed,train_step,episode,step_in_episode,eval_flag,success,orbit_time_s,total_return,reward_total,reward_potential,reward_alive,reward_overshoot,reward_orbit_bonus,reward_failure_penalty,reward_ground_penalty,fuel_remaining,fuel_remaining_frac,apoapsis,periapsis,altitude,max_altitude,speed,max_speed,termination_reason,actor_loss,critic_loss,alpha,loss_alpha
0,1,0,1,False,False,nan,0.010232336819171906,0.010232337042689324,0.00023233704268932343,0.01,0.0,0.0,0.0,0.0,7123.2138671875,0.9893352593315973,100.07525933289435,-598432.8573910926,99.34600932733156,99.34600932733156,175.13231282258022,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,2,0,2,False,False,nan,0.02026277966797352,0.010030442606657744,3.0442606657743454e-05,0.01,0.0,0.0,0.0,0.0,7119.3232421875,0.9887948947482639,100.31879515014589,-598434.2862328339,100.30880937748589,100.30880937748589,175.01233128468004,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,3,0,3,False,False,nan,0.030191035009920597,0.009928255565464497,-7.174443453550339e-05,0.01,0.0,0.0,0.0,0.0,7109.4453125,0.9874229600694444,99.74484380928334,-598439.9330205988,99.41762435343117,100.30880937748589,174.7152488039242,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,4,0,4,False,False,nan,0.04002003464847803,0.009828999862074852,-0.000171000137925148,0.01,0.0,0.0,0.0,0.0,7095.921875,0.9855447048611111,98.37683872971684,-598445.5736388353,97.77044348046184,100.30880937748589,174.41608902025433,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,5,0,5,False,False,nan,0.04997302405536175,0.009952989164739847,-4.701083526015282e-05,0.01,0.0,0.0,0.0,0.0,7093.41357421875,0.9851963297526042,98.00075617153198,-598446.0813528898,94.48069173912518,100.30880937748589,174.551572276412,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,6,0,6,False,False,nan,0.059566935524344444,0.009593911925330758,-0.0004060880746692419,0.01,0.0,0.0,0.0,0.0,7083.2490234375,0.9837845865885416,94.75205177010503,-598448.3127179814,89.35897240275517,100.30880937748589,174.53302952452805,175.13231282258022,,nan,nan,0.7519331574440002,nan
0,7,0,7,False,False,nan,0.0684961685910821,0.008929232824593783,-0.0010707671754062176,0.01,0.0,0.0,0.0,0.0,7078.71484375,0.9831548394097223,86.18590926984325,-598419.8671701232,85.16487135470379,100.30880937748589,175.87476251248978,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,8,0,8,False,False,nan,0.07885789033025503,0.010361722195520997,0.00036172219552099705,0.01,0.0,0.0,0.0,0.0,7059.73388671875,0.9805185953776042,89.07969187619165,-598428.7701750845,87.7165959526319,100.30880937748589,175.3984939974057,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,9,0,9,False,False,nan,0.08904943149536848,0.01019154162146151,0.00019154162146151066,0.01,0.0,0.0,0.0,0.0,7049.32568359375,0.9790730116102431,90.61202137020882,-598434.5533322033,90.06549455248751,100.30880937748589,175.03033391504977,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,10,0,10,False,False,nan,0.0990630928426981,0.010013661338016391,1.36613380163908e-05,0.01,0.0,0.0,0.0,0.0,7047.2568359375,0.9787856716579861,90.72131504409481,-598434.8398620901,90.60210089222528,100.30880937748589,174.99038399165315,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,11,0,11,False,False,nan,0.10896231792867184,0.009899225076660514,-0.00010077492333948612,0.01,0.0,0.0,0.0,0.0,7040.94287109375,0.9779087320963542,89.9151148404926,-598431.2356949748,88.56227006507106,100.30880937748589,175.260486495703,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,12,0,12,False,False,nan,0.11839091964066029,0.00942860216833651,-0.0005713978316634893,0.01,0.0,0.0,0.0,0.0,7034.71875,0.9770442708333333,85.34393016819376,-598438.8330090628,85.00237813568674,100.30880937748589,174.78165469231752,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,13,0,13,False,False,nan,0.12842601910233498,0.010035099219530821,3.5099219530820847e-05,0.01,0.0,0.0,0.0,0.0,7029.833984375,0.9763658311631944,85.6247266306309,-598432.576407498,85.61810130975209,100.30880937748589,175.11171022128258,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,14,0,14,False,False,nan,0.13836723938584328,0.009941220739856363,-5.877926014363766e-05,0.01,0.0,0.0,0.0,0.0,7014.68310546875,0.9742615424262153,85.15448984468821,-598429.6015422248,85.14630591217428,100.30880937748589,175.27759691234877,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,15,0,15,False,False,nan,0.14836469572037458,0.009997456325218082,-2.5436747819185257e-06,0.01,0.0,0.0,0.0,0.0,7001.00048828125,0.9723611789279514,85.13414302514866,-598428.8123316113,85.13390966109,100.30880937748589,175.32108061732816,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,16,0,16,False,False,nan,0.15837019309401512,0.010005497131496668,5.497131496667862e-06,0.01,0.0,0.0,0.0,0.0,6994.65576171875,0.971479966905382,85.17812296014745,-598424.7542419534,85.17707355681341,100.30880937748589,175.54678648123698,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,17,0,17,False,False,nan,0.1683621071279049,0.009991913791745901,-8.086208254098892e-06,0.01,0.0,0.0,0.0,0.0,6988.6396484375,0.9706443956163194,85.11343332543038,-598423.3111546495,85.11115281190723,100.30880937748589,175.62705445202727,175.87476251248978,,nan,nan,0.7519331574440002,nan
0,18,0,18,False,False,nan,0.1784288203343749,0.010066712964326143,6.671296432614326e-05,0.01,0.0,0.0,0.0,0.0,6967.71044921875,0.967737562391493,85.64712980831973,-598413.979577118,85.51879240164999,100.30880937748589,176.15150415781264,176.15150415781264,,nan,nan,0.7519331574440002,nan
0,19,0,19,False,False,nan,0.18857606686651707,0.01014724675565958,0.00014724675565958023,0.01,0.0,0.0,0.0,0.0,6948.994140625,0.9651380750868056,86.82510904385708,-598407.5981800217,86.57788959518075,100.30880937748589,176.51081836661092,176.51081836661092,,nan,nan,0.7519331574440002,nan
0,20,0,20,False,False,nan,0.19859069399535656,0.010014627585187555,1.462758518755436e-05,0.01,0.0,0.0,0.0,0.0,6944.76806640625,0.9645511203342014,86.9421282800613,-598412.6604242907,86.78286080271937,100.30880937748589,176.22588729874428,176.51081836661092,,nan,nan,0.7519331574440002,nan
0,21,0,21,False,False,nan,0.2084437208250165,0.009853026820346713,-0.00014697317965328693,0.01,0.0,0.0,0.0,0.0,6930.2431640625,0.9625337727864584,85.76634266076144,-598404.5110446787,85.29277459997684,100.30880937748589,176.69422845058475,176.69422845058475,,nan,nan,0.7519331574440002,nan
0,22,0,22,False,False,nan,0.21830667927861214,0.009862958211451769,-0.00013704178854823112,0.01,0.0,0.0,0.0,0.0,6914.6591796875,0.9603693305121528,84.67000944854226,-598381.882279565,82.65981689200271,100.30880937748589,178.02412241056354,178.02412241056354,,nan,nan,0.7519331574440002,nan
0,23,0,23,False,False,nan,0.2282266141846776,0.009919935362413526,-8.006463758647442e-05,0.01,0.0,0.0,0.0,0.0,6902.951171875,0.9587432183159722,84.02948968322016,-598363.9149751882,78.1211085274117,100.30880937748589,179.2195139506173,179.2195139506173,,nan,nan,0.7519331574440002,nan
0,24,0,24,False,False,nan,-4.771773385815322,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,86.68343071802519,-598306.9563213331,70.98391884972807,100.30880937748589,182.81804484205762,182.81804484205762,vessel_destroyed,nan,nan,0.7519331574440002,nan
0,25,1,1,False,False,nan,0.01013270951807499,0.010132709974423051,0.00013270997442305088,0.01,0.0,0.0,0.0,0.0,7185.853515625,0.9980352105034722,87.46300719270948,-598434.2264677788,87.23042585479561,87.23042585479561,175.0318798488728,175.0318798488728,,nan,nan,0.7519331574440002,nan
0,26,1,2,False,False,nan,0.020361975766718388,0.010229266006499529,0.00022926600649952888,0.01,0.0,0.0,0.0,0.0,7165.03955078125,0.9951443820529514,89.29713481350336,-598430.2015366816,88.72545712161809,88.72545712161809,175.27452124199974,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,27,1,3,False,False,nan,0.03051936998963356,0.010157394679263234,0.00015739467926323414,0.01,0.0,0.0,0.0,0.0,7151.65625,0.9932855902777777,90.55629738955759,-598432.8873118603,90.32665369356982,90.32665369356982,175.10544149981195,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,28,1,4,False,False,nan,0.04072308726608753,0.01020371749997139,0.00020371749997138977,0.01,0.0,0.0,0.0,0.0,7131.91455078125,0.990543687608507,92.1860311179189,-598440.4610853144,91.67532134370413,91.67532134370413,174.69825800189753,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,29,1,5,False,False,nan,0.050883651711046696,0.010160564668476582,0.00016056466847658157,0.01,0.0,0.0,0.0,0.0,7117.556640625,0.9885495334201388,93.47055567172356,-598458.2121723228,93.2277128539281,93.2277128539281,173.68857619465302,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,30,1,6,False,False,nan,0.06090611405670643,0.010022462336346507,2.2462336346507072e-05,0.01,0.0,0.0,0.0,0.0,7110.12109375,0.9875168185763888,93.65025025815703,-598465.3063793145,93.58662309648935,93.58662309648935,173.27941038183448,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,31,1,7,False,False,nan,0.07079367525875568,0.009887561425566673,-0.00011243857443332672,0.01,0.0,0.0,0.0,0.0,7095.36181640625,0.9854669189453125,92.75074185547419,-598486.1346662916,92.51529738912359,93.58662309648935,172.11262818256904,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,32,1,8,False,False,nan,0.0806689141318202,0.009875238863751292,-0.00012476113624870777,0.01,0.0,0.0,0.0,0.0,7079.74365234375,0.9832977294921875,91.7526490840828,-598474.7746792211,91.55210176843684,93.58662309648935,172.7537593620969,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,33,1,9,False,False,nan,0.09057851880788803,0.009909604666754604,-9.039533324539661e-05,0.01,0.0,0.0,0.0,0.0,7063.45263671875,0.9810350884331597,91.02948584361002,-598463.050194189,91.02789125777781,93.58662309648935,173.4036520479898,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,34,1,10,False,False,nan,0.10052253026515245,0.009944011215120554,-5.598878487944603e-05,0.01,0.0,0.0,0.0,0.0,7056.880859375,0.9801223415798611,90.58158169931266,-598467.8214976414,90.47561981237959,93.58662309648935,173.1410134654744,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,35,1,11,False,False,nan,0.11044170800596476,0.009919177498668432,-8.082250133156776e-05,0.01,0.0,0.0,0.0,0.0,7050.865234375,0.9792868381076388,89.93499928480014,-598479.1042557951,89.85380519647151,93.58662309648935,172.5027811940514,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,36,1,12,False,False,nan,0.12037666980177164,0.009934962252154947,-6.503774784505367e-05,0.01,0.0,0.0,0.0,0.0,7040.6044921875,0.9778617350260417,89.41469249653164,-598519.5192132943,88.02884800219908,93.58662309648935,170.27652651666128,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,37,1,13,False,False,nan,0.13044389989227057,0.010067229848355055,6.722984835505486e-05,0.01,0.0,0.0,0.0,0.0,7029.81201171875,0.976362779405382,89.95253598224372,-598559.0477417238,83.49973001971375,93.58662309648935,168.29103475473087,175.27452124199974,,nan,nan,0.7519331574440002,nan
0,38,1,14,False,False,nan,-4.869556100107729,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,93.6017558502499,-598596.4978181977,77.72540688829031,93.58662309648935,166.6592198167531,175.27452124199974,vessel_destroyed,nan,nan,0.7519331574440002,nan
0,39,2,1,False,False,nan,0.010210085660219193,0.010210085418075323,0.0002100854180753231,0.01,0.0,0.0,0.0,0.0,7183.56982421875,0.997718031141493,88.03995506395586,-598434.3889688656,87.44459704309702,87.44459704309702,175.04298036432624,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,40,2,2,False,False,nan,0.02036832459270954,0.01015823869034648,0.00015823869034647942,0.01,0.0,0.0,0.0,0.0,7170.2177734375,0.9958635796440972,89.30586642934941,-598436.5586234496,89.09298817813396,89.09298817813396,174.90019702046357,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,41,2,3,False,False,nan,0.030472565442323685,0.010104240607470274,0.00010424060747027397,0.01,0.0,0.0,0.0,0.0,7155.369140625,0.99380126953125,90.13978402118664,-598436.295666806,90.01935039856471,90.01935039856471,174.9094385121577,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,42,2,4,False,False,nan,0.040569454431533813,0.010096888979896903,9.688897989690304e-05,0.01,0.0,0.0,0.0,0.0,7139.3095703125,0.9915707736545138,90.91489974746946,-598440.07824485,90.81004482926801,90.81004482926801,174.69722426022227,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,43,2,5,False,False,nan,0.0505884513258934,0.01001899665221572,1.8996652215719223e-05,0.01,0.0,0.0,0.0,0.0,7129.607421875,0.9902232530381945,91.06686991662718,-598442.7121492262,91.02485091111157,91.02485091111157,174.54649254074988,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,44,2,6,False,False,nan,0.06055369507521391,0.009965244205668569,-3.475579433143139e-05,0.01,0.0,0.0,0.0,0.0,7126.630859375,0.9898098415798611,90.7888260402251,-598444.2085539375,89.27878533606417,91.02485091111157,174.54541328244628,175.04298036432624,,nan,nan,0.7519331574440002,nan
0,45,2,7,False,False,nan,0.07029746379703283,0.009743768712505698,-0.0002562312874943018,0.01,0.0,0.0,0.0,0.0,7122.79833984375,0.9892775472005209,88.73897774645593,-598425.1479901863,84.89889448368922,91.02485091111157,175.7382324641464,175.7382324641464,,nan,nan,0.7519331574440002,nan
0,46,2,8,False,False,nan,0.07990168314427137,0.009604219337925315,-0.0003957806620746851,0.01,0.0,0.0,0.0,0.0,7113.4853515625,0.9879840766059028,85.57272895262577,-598433.9454498163,85.52059464040212,91.02485091111157,175.03798365011139,175.7382324641464,,nan,nan,0.7519331574440002,nan
0,47,2,9,False,False,nan,0.08991562109440565,0.010013938406482339,1.3938406482338905e-05,0.01,0.0,0.0,0.0,0.0,7099.81689453125,0.9860856797960069,85.68423595593777,-598437.6263497485,85.68078350124415,91.02485091111157,174.82993385913778,175.7382324641464,,nan,nan,0.7519331574440002,nan
0,48,2,10,False,False,nan,0.09990367107093334,0.009988049967214465,-1.1950032785534859e-05,0.01,0.0,0.0,0.0,0.0,7082.4111328125,0.983668212890625,85.58863559213933,-598421.5353477529,85.58829592599068,91.02485091111157,175.72542324033037,175.7382324641464,,nan,nan,0.7519331574440002,nan
0,49,2,11,False,False,nan,0.10984903946518898,0.009945368617773056,-5.463138222694397e-05,0.01,0.0,0.0,0.0,0.0,7079.4267578125,0.9832537163628472,85.15159070724621,-598422.7862440727,85.12554054998327,91.02485091111157,175.65752612724313,175.7382324641464,,nan,nan,0.7519331574440002,nan
0,50,2,12,False,False,nan,0.1198467193171382,0.00999767984263599,-2.320157364010811e-06,0.01,0.0,0.0,0.0,0.0,7069.57568359375,0.9818855116102431,85.13302618497983,-598424.7916517915,85.12728546233848,91.02485091111157,175.54498264680245,175.7382324641464,,nan,nan,0.7519331574440002,nan
