seed,train_step,episode,eval_flag,success,orbit_time_s,total_return,fuel_remaining,fuel_remaining_frac,apoapsis,periapsis,max_altitude,max_speed,termination_reason,episode_steps
0,59,0,False,False,nan,-40.21119516692124,0.0,0.0,396.86239557911176,-599871.9205773295,418.0044460594654,175.1343443658464,vessel_destroyed,59
0,170,1,False,False,nan,-42.24284250612254,0.0,0.0,2638.3118405741407,-598913.3151555415,1917.5577320873272,265.55976850979,vessel_destroyed,111
0,292,2,False,False,nan,-41.89191914506955,0.0,0.0,2765.160406880197,-599455.1819789776,2151.716662840103,250.32970867121142,vessel_destroyed,122
0,312,3,False,False,nan,-40.05181515472941,0.0,0.0,83.5790492312517,-598830.0250923788,120.1581164225936,175.10904976205813,vessel_destroyed,20
0,332,4,False,False,nan,-40.016874948109034,0.0,0.0,114.56742155971006,-597790.9054847766,104.24241452524439,210.07438600258027,vessel_destroyed,20
0,402,5,False,False,nan,-40.71955509867985,0.0,0.0,998.8836500901962,-599588.4653184302,842.6773000808898,174.97353587070847,vessel_destroyed,70
0,466,6,False,False,nan,-40.654989899048815,0.0,0.0,645.12704221881,-599864.490848984,592.8425622729119,175.03472634657768,vessel_destroyed,64
0,610,7,False,False,nan,-41.74292935701669,0.0,0.0,1727.0030589682283,-596166.7287930205,1673.490267197485,330.06385595043616,vessel_destroyed,144
0,708,8,False,False,nan,-41.21150300028967,0.0,0.0,1745.848450853373,-599288.075963826,1513.829046812607,211.95122721455968,vessel_destroyed,98
0,785,9,False,False,nan,-40.99263497200445,0.0,0.0,1073.986924886005,-591843.4909978012,929.4695252181264,422.2032798882776,vessel_destroyed,77
0,820,10,False,False,nan,-40.123774555686396,0.0,0.0,171.20347227249295,-597902.4181769677,164.95114685990848,207.4546686640134,vessel_destroyed,35
0,911,11,False,False,nan,-40.780787534007686,0.0,0.0,1215.356338799349,-596537.9377769872,1000.6440479239682,300.2924509683182,vessel_destroyed,91
0,986,12,False,False,nan,-40.8503461036089,0.0,0.0,1010.9395632575033,-599360.9029788101,872.6568787692813,176.17638968249435,vessel_destroyed,75
0,1081,13,False,False,nan,-41.21239648439223,0.0,0.0,1731.9368041314883,-592674.6714302647,1528.7972230676096,418.2666060479084,vessel_destroyed,95
0,1099,14,False,False,nan,-40.02927359798923,0.0,0.0,120.16492884990294,-599324.9587434083,103.81939741468523,175.0638467537992,vessel_destroyed,18
0,1243,15,False,False,nan,-41.64958135665802,0.0,0.0,2595.719652250642,-597363.7457927752,2216.3214947114466,316.8494818792389,vessel_destroyed,144
0,1323,16,False,False,nan,-40.474975714983884,0.0,0.0,899.3545838140417,-595291.8835929012,842.5106273212004,329.98842111010254,vessel_destroyed,80
0,1374,17,False,False,nan,-40.3398835673579,0.0,0.0,460.5956667130813,-598134.2233327382,415.52620886685327,210.15074133921877,vessel_destroyed,51
0,1402,18,False,False,nan,-40.03580740292091,0.0,0.0,108.25554997252766,-595916.757344321,116.88202001771424,283.53442063436995,vessel_destroyed,28
0,1456,19,False,False,nan,-40.31597800993768,0.0,0.0,431.5249613558408,-598928.1558526692,443.15732372691855,175.2056641951419,vessel_destroyed,54
0,1475,20,False,False,nan,-40.02481873292709,0.0,0.0,102.16956560232211,-598840.5156899142,103.41736907570157,175.0084658210041,vessel_destroyed,19
0,1544,21,False,False,nan,-40.49421554593573,0.0,0.0,825.5621810625307,-598736.7052560349,708.3554273796035,197.71279814507042,vessel_destroyed,69
0,1598,22,False,False,nan,-40.42657297360711,0.0,0.0,538.5958266232628,-595586.9381260759,447.65619878144935,308.203549204478,vessel_destroyed,54
0,1696,23,False,False,nan,-41.10973770968849,0.0,0.0,1604.4726743864594,-596745.5923157779,1345.7457499383017,305.21579448157405,vessel_destroyed,98
0,1814,24,False,False,nan,-41.3344237258716,0.0,0.0,1802.06863071525,-599646.509766065,1660.3551445414778,228.45716156559752,vessel_destroyed,118
0,1897,25,False,False,nan,-40.525039978365385,0.0,0.0,1206.9516462461324,-599762.2531018513,1205.1482832500478,175.00127010625573,vessel_destroyed,83
0,1920,26,False,False,nan,-40.02787790205912,0.0,0.0,86.25580230751075,-597335.1360727566,113.72196860192344,229.05820729173743,vessel_destroyed,23
0,2006,27,False,False,nan,-40.56159755267436,0.0,0.0,1144.6623776203487,-596266.581877927,987.0513348778477,306.3662499707708,vessel_destroyed,86
0,2073,28,False,False,nan,-40.49832280521514,0.0,0.0,936.8224888242548,-594244.294970844,816.3971479639877,360.17058523369377,vessel_destroyed,67
0,2163,29,False,False,nan,-41.16914223918138,0.0,0.0,1711.9259377040435,-599682.0067383928,1649.0091603206238,192.81313762022546,vessel_destroyed,90
0,2190,30,False,False,nan,-40.02814767189557,0.0,0.0,130.1319607667392,-599664.7857186839,145.7761776340194,175.14376451932662,vessel_destroyed,27
0,2235,31,False,False,nan,-40.19739104312612,0.0,0.0,302.7371433429653,-599398.0400820853,281.3526950032683,174.98341675197995,vessel_destroyed,45
0,2316,32,False,False,nan,-40.87469526269706,0.0,0.0,1520.1474474431016,-595622.1064676855,1278.2433178812498,338.31136276192444,vessel_destroyed,81
0,2419,33,False,False,nan,-41.03834905970143,0.0,0.0,1829.5249814335257,-599994.1967261386,1808.1567429860588,185.73938091761403,vessel_destroyed,103
